"gene_id","baseMean_FvIAC_HT","baseMean_FvIAC_VF","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FVEG_10047",2.45462693403376,3460.59930614345,1731.52696653874,-10.5224431990899,0.829264662848674,-12.6888841047964,6.81498292578831e-37,2.60502722338258e-34
"FVEG_00166",3825.86420147952,2.62367205964249,1914.24393676958,10.495590819812,1.13877868266969,9.21653257084752,3.06862871455022e-20,3.09358239860261e-18
"FVEG_08532",4.09796076439991,5468.6893773807,2736.39366907255,-10.3724107608959,0.914902248357683,-11.337179222715,8.58677464457807e-30,1.67606533168849e-27
"FVEG_00078",5.70610257030358,5381.42957987912,2693.56784122471,-9.8389790957414,0.671133183344039,-14.6602482784668,1.15848576055177e-48,7.08529891153464e-46
"FVEG_00079",3.82120566518537,3166.44066023929,1585.13093295224,-9.71367178524695,0.949453612255681,-10.2308018631574,1.44319405611683e-24,2.06872847981496e-22
"FVEG_08559",113.908072251529,83088.5771026748,41601.2425874632,-9.51087719226869,0.652665316027593,-14.5723649759053,4.21058150059049e-48,2.41424216790107e-45
"FVEG_10535",16.8288063664785,9054.60110595371,4535.71495616009,-9.06331655828715,0.650485975399534,-13.9331467565006,3.9840799196008e-44,2.03055273235654e-41
"FVEG_10425",3.25253191561924,1367.35470380791,685.303617861765,-8.75100653701845,0.747708654009348,-11.7037652166977,1.21921114134904e-31,2.79626075268402e-29
"FVEG_12593",3.13507468085439,1250.84144084625,626.98825776355,-8.72991028053012,0.769240952470793,-11.3487331277537,7.52450029839354e-30,1.50064708124918e-27
"FVEG_11927",14.3034087922629,5756.54835286101,2885.42588082664,-8.63138248762757,0.737959724737545,-11.6962785343026,1.33166395397796e-31,2.97967929604727e-29
"FVEG_10049",3.00897298196309,949.402909374377,476.20594117817,-8.3632184928158,0.658238064776879,-12.7054616564155,5.51430501388598e-37,2.29946519079045e-34
"FVEG_17305",32.5484215174067,10727.6443387773,5380.09638014735,-8.35135923808722,0.692999177760203,-12.0510377300578,1.91523379585165e-33,5.02010138375515e-31
"FVEG_11928",114.434530943055,35905.9962957379,18010.2154133405,-8.29115791048865,0.663760590348957,-12.4911873814771,8.33995698607529e-36,2.55035884634182e-33
"FVEG_16715",5.08707003598843,1524.73363672894,764.910353382466,-8.27798255957494,0.806623908721772,-10.2625058221901,1.03973044262131e-24,1.53846565816256e-22
"FVEG_11085",99.276957973073,27683.3562591446,13891.3166085589,-8.12433569583978,0.48318913119178,-16.8139868456917,1.92759892338841e-63,2.94729875386087e-60
"FVEG_08294",1.95710550865403,500.041589739823,250.999347624238,-8.11045312632233,0.912369994658046,-8.88943430166411,6.14208088569694e-19,5.47062621799842e-17
"FVEG_00076",26.0495200138069,7113.78108731167,3569.91530366274,-8.08195841374957,0.538958392245747,-14.9955145518255,7.85515664155963e-51,5.54332361766677e-48
"FVEG_00077",43.9836577120486,11504.3996627726,5774.19166024232,-8.02954865910178,0.678322659338286,-11.8373587385902,2.50209059457359e-32,6.0405734512153e-30
"FVEG_11078",108.439306378554,27610.3551962175,13859.397251298,-7.9913673474708,0.425291491733908,-18.7903296980856,9.06146751836372e-79,2.07824757533672e-75
"FVEG_12181",2.50041145702251,677.40857069223,339.954491074626,-7.97212964488045,0.952608385794782,-8.3687376300274,5.82387604983249e-17,4.56651614368917e-15
"FVEG_11455",8.84051830150382,2053.41769751281,1031.12910790716,-7.83910953127883,0.623174953535983,-12.579307763893,2.74424000051199e-36,8.68126129817139e-34
"FVEG_16916",3.06477455249694,726.289579387935,364.677176970216,-7.83633052078302,0.81150722138691,-9.65651360118559,4.61296058961776e-22,5.16089029867723e-20
"FVEG_11931",273.571178065353,61750.3687703947,31011.96997423,-7.81751983747013,0.520870973595879,-15.0085534302309,6.45399250782368e-51,4.9340772722312e-48
"FVEG_11929",202.56763045468,44978.6929157911,22590.6302731229,-7.79341289096731,0.408641990920728,-19.0714930528986,4.35686224174312e-81,1.33232847352505e-77
"FVEG_10048",9.75891568761393,2167.81768594273,1088.78830081517,-7.76340615325117,0.943712492524436,-8.22645266937604,1.92839231457591e-16,1.41528568751355e-14
"FVEG_11079",355.447030633433,77229.022895864,38792.2349632487,-7.76285968668456,0.488601447652382,-15.887917901151,7.68376239350523e-57,6.40825783618336e-54
"FVEG_00860",910.300728347527,4.42135245501056,457.361040401269,7.66759368778903,1.90021047781227,4.03512862249702,5.45723941334181e-05,0.000526442843091459
"FVEG_11082",58.1311297233524,11757.8730344227,5908.00208207304,-7.65567185765408,0.441891606562357,-17.3247731886344,3.0589906796159e-67,5.61263609895926e-64
"FVEG_04984",2.40167073830014,490.641701764274,246.521686251287,-7.63395120278367,0.775268311998358,-9.84685054791694,7.07254995875316e-23,8.65114310954686e-21
"FVEG_11086",770.571388336893,152998.734296974,76884.6528426555,-7.6336309982278,0.606787822827402,-12.5803958336836,2.70670216374619e-36,8.68126129817139e-34
